,year,station_id,stationname,num_lines,line,Latitude,Longitude,rides,prior_rides,ride_dif,rltv_ride_dif
141,2002,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,491132.0,466261.0,24871.0,0.05334136889
282,2003,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,500034.0,491132.0,8902.0,0.0181254733962
423,2004,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,484622.0,500034.0,-15412.0,-0.0308219041105
564,2005,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,490057.0,484622.0,5435.0,0.0112149262724
705,2006,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,500236.0,490057.0,10179.0,0.0207710531632
846,2007,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,498727.0,500236.0,-1509.0,-0.00301657617604
987,2008,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,561885.0,498727.0,63158.0,0.126638421421
1128,2009,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,556101.0,561885.0,-5784.0,-0.010293921354
1269,2010,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,582084.0,556101.0,25983.0,0.0467235268413
1410,2011,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,627245.0,582084.0,45161.0,0.077585022093
1551,2012,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,643398.0,627245.0,16153.0,0.0257522977465
1695,2013,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,637692.0,643398.0,-5706.0,-0.00886853860286
1838,2014,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,638728.0,637692.0,1036.0,0.00162460874529
1981,2015,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,634972.0,638728.0,-3756.0,-0.00588043736927
2125,2016,40010,Austin-Forest Park,1.0,BLUE,41.870851,-87.776812,616616.571429,634972.0,-18355.428571428638,-0.0289074613864
142,2002,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,991755.0,1033308.0,-41553.0,-0.0402135665261
283,2003,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,980590.0,991755.0,-11165.0,-0.0112578207319
424,2004,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,967047.0,980590.0,-13543.0,-0.0138110729255
565,2005,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1012490.0,967047.0,45443.0,0.0469915112709
706,2006,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1080833.0,1012490.0,68343.0,0.0674999259252
847,2007,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1135002.0,1080833.0,54169.0,0.0501178257881
988,2008,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1222147.0,1135002.0,87145.0,0.0767796003884
1129,2009,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1144356.0,1222147.0,-77791.0,-0.063651099254
1270,2010,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1148884.0,1144356.0,4528.0,0.00395681064284
1411,2011,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1167342.0,1148884.0,18458.0,0.0160660258129
1552,2012,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1209339.0,1167342.0,41997.0,0.0359766032577
1696,2013,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1228214.0,1209339.0,18875.0,0.0156076997434
1839,2014,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1278581.0,1228214.0,50367.0,0.0410083259106
1982,2015,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1266361.0,1278581.0,-12220.0,-0.0095574703519
2126,2016,40020,Harlem-Lake,1.0,GREEN,41.886848,-87.803176,1142300.57143,1266361.0,-124060.42857142864,-0.097966084372
143,2002,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,420934.0,458010.0,-37076.0,-0.0809501975939
284,2003,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,427404.0,420934.0,6470.0,0.0153705806611
425,2004,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,362374.0,427404.0,-65030.0,-0.152151126335
566,2005,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,437854.0,362374.0,75480.0,0.20829308946
707,2006,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,483252.0,437854.0,45398.0,0.103682962814
848,2007,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,506438.0,483252.0,23186.0,0.0479791082086
989,2008,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,540298.0,506438.0,33860.0,0.0668591219458
1130,2009,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,576987.0,540298.0,36689.0,0.0679051190269
1271,2010,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,646364.0,576987.0,69377.0,0.120240144059
1412,2011,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,666457.0,646364.0,20093.0,0.0310861991076
1553,2012,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,671815.0,666457.0,5358.0,0.00803952843169
1697,2013,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,613586.0,671815.0,-58229.0,-0.0866741588086
1840,2014,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,606323.0,613586.0,-7263.0,-0.0118369715085
1983,2015,40030,Pulaski-Lake,1.0,GREEN,41.885412,-87.725404,566019.0,606323.0,-40304.0,-0.0664728205923
